,Date,Team,Opponent,Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Blocked,Corners,Offsides,Free Kicks,Saves,Pass Accuracy %,Passes,Distance Covered (Kms),Fouls Committed,Yellow Card,Yellow & Red,Red,Man of the Match,1st Goal,Round,PSO,Goals in PSO,Own goals,Own goal Time
0,15-06-2018,Uruguay,Egypt,1,57,14,4,6,4,5,1,13,3,86,589,111,6,0,0,0,Yes,89.0,Group Stage,No,0,,
1,16-06-2018,Argentina,Iceland,1,72,26,7,9,10,10,0,15,2,92,718,101,10,0,0,0,No,19.0,Group Stage,No,0,,
2,16-06-2018,Peru,Denmark,0,52,18,6,7,5,3,5,21,2,85,394,104,10,1,0,0,No,,Group Stage,No,0,,
3,17-06-2018,Brazil,Switzerland,1,52,20,4,9,7,7,1,19,1,88,521,103,12,1,0,0,Yes,20.0,Group Stage,No,0,,
4,19-06-2018,Colombia,Japan,1,41,8,3,1,4,3,2,10,4,82,352,93,15,2,0,1,No,39.0,Group Stage,No,0,,
5,20-06-2018,Uruguay,Saudi Arabia,1,47,13,4,6,3,3,1,15,3,88,521,101,10,0,0,0,Yes,23.0,Group Stage,No,0,,
6,21-06-2018,Peru,France,0,56,10,2,6,2,3,1,11,3,81,532,102,15,2,0,0,No,,Group Stage,No,0,,
7,21-06-2018,Argentina,Croatia,0,58,10,3,3,4,5,3,26,2,81,505,101,15,3,0,0,No,,Group Stage,No,0,,
8,22-06-2018,Brazil,Costa Rica,2,66,23,9,9,5,10,3,14,0,90,732,105,11,2,0,0,Yes,90.0,Group Stage,No,0,,
9,24-06-2018,Colombia,Poland,3,55,13,3,5,5,5,1,16,2,82,514,108,10,0,0,0,Yes,40.0,Group Stage,No,0,,
10,25-06-2018,Uruguay,Russia,3,56,17,7,6,4,4,0,20,1,88,492,101,17,1,0,0,Yes,10.0,Group Stage,No,0,,
11,26-06-2018,Peru,Australia,2,47,4,3,1,0,3,1,16,2,81,418,100,12,2,0,0,Yes,18.0,Group Stage,No,0,,
12,26-06-2018,Argentina,Nigeria,2,66,8,4,3,1,5,2,20,2,84,565,101,15,3,0,0,Yes,14.0,Group Stage,No,0,,
13,27-06-2018,Brazil,Serbia,2,56,13,6,3,4,9,4,15,1,88,631,105,7,0,0,0,Yes,36.0,Group Stage,No,0,,
14,28-06-2018,Colombia,Senegal,1,57,4,2,1,1,3,3,18,3,83,431,100,15,1,0,0,Yes,74.0,Group Stage,No,0,,
15,30-06-2018,Argentina,France,3,59,9,4,1,4,4,1,21,0,86,547,96,15,5,0,0,No,41.0,Round of 16,No,0,,
16,30-06-2018,Uruguay,Portugal,2,39,6,3,2,1,2,0,14,4,69,269,106,13,0,0,0,Yes,7.0,Round of 16,No,0,,
17,02-07-2018,Brazil,Mexico,2,47,21,10,7,4,8,0,20,1,83,398,92,6,2,0,0,Yes,51.0,Round of 16,No,0,,
18,03-07-2018,Colombia,England,1,48,14,4,7,3,2,1,15,1,78,516,136,23,6,0,0,No,90.0,Round of 16,Yes,3,,
19,06-07-2018,Uruguay,France,0,42,11,4,6,1,4,0,15,0,67,322,103,17,2,0,0,No,,Quarter Finals,No,0,,
20,06-07-2018,Brazil,Belgium,1,57,26,9,7,10,8,1,16,2,89,557,104,14,2,0,0,No,,Quarter Finals,No,0,1.0,13.0
