id_studant,attempts,comments,blank_line,lloc,sloc,single_comments,system_access,exam_grade_codebench,difficult,delete_average,average_log_rows,submission_per_exercice,sucess_average,test_average,exercices_list_grade,exercices_list_grade_check_plagiarism,copy_past_proportion,sintaxe_error,IDE_usage,keystroke_latency,Media_Final,SITUATION
1088,107,24,1,1113,1137,24,4,10,0.73,46.82,241.18,2.55,0.73,0.91,10,4.55,7.97,0.17,86,0.6,7.83,1
1090,44,12,58,344,356,12,2,-1,1.45,16.64,240,1,0.18,3.27,3.64,3.64,0.35,0.7,47,1.5,0,5
1090,44,12,58,344,356,12,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,5
1091,130,282,106,1291,1564,264,9,5,2,66.09,40989.91,4.45,0.45,5.91,10,7.27,4.3,0.13,171,0.69,5.93,1
1094,83,0,12,595,595,0,10,-1,1.45,12.36,522.09,2.09,0.73,4.27,10,4.55,7.06,0.1,71,1,0,5
1095,362,128,114,2870,2989,119,7,0,1.36,46.91,41215.64,11.09,0,6.18,10,8.18,5.68,0.13,138,1.22,7.4,1
1096,128,0,158,1214,1214,0,12,5,1,112,960.18,0.73,0.09,6.91,3.64,1.82,0.06,0.65,224,1.11,0,5
1096,128,0,158,1214,1214,0,10,10,2,145.92,1337.42,3.92,0.58,22.75,10,10,0.13,0.1,230,1.5,0,5
1097,717,14,21,5798,5814,14,9,10,1.82,123.36,56914.64,86,0.18,30.27,10,8.18,0.59,0.06,297,0.67,6.92,1
1098,83,143,161,651,705,54,7,-1,1.91,7.18,46,0.55,0.09,0.64,0.91,0.91,69.13,0.79,8,0,0,5
1101,64,0,253,509,509,0,6,5,1.73,10.09,227.91,2,0,2.36,2.73,2.73,0.27,0.7,73,1.13,0,5
1102,21,0,0,159,159,0,3,0,2,8.45,102.73,1.36,0.64,0.27,10,3.64,6.47,0.16,72,1.78,5.06,1
1103,526,293,433,4529,4821,293,38,10,2,76.09,1411.91,5.73,0.36,19.27,10,9.09,0.86,0.18,145,1.5,9.16,1
1104,389,0,59,3488,3487,0,16,10,1.55,59.73,3254.55,5.91,0.09,9.91,10,8.18,0.98,0.23,167,1,5.5,1
1105,24,36,29,265,301,36,2,5,1.18,0,17.45,1.09,0.91,0.09,10,0,0,0,6,0,0,5
1108,222,0,205,2527,2527,0,5,10,0.82,54.27,642.18,5.55,0.27,8,10,10,0.24,0.3,119,0.9,4.52,3
1109,248,128,102,2574,2702,128,8,10,0.82,330.45,22619.36,3.36,0.45,13.82,10,9.09,0.95,0.18,115,1.3,8.73,1
1110,43,3,41,397,400,3,1,5,1.82,1.09,31.45,1.64,0.82,0.27,10,1.82,287.28,0.06,32,0,6.35,1
1111,172,31,105,1573,1589,16,14,10,1.55,12.09,27382,1.91,0.36,2.36,10,8.18,1.08,0.24,108,1.5,9.15,1
1112,283,36,150,3309,3337,29,7,10,1.55,68.27,15284.91,2.91,0.55,8.55,10,10,3.89,0.16,151,1.13,6.42,1
1113,117,0,160,1104,1104,0,6,10,1.27,30.18,474.55,5.18,0.36,2.91,10,8.18,0.91,0.37,140,1.22,8.69,1
1114,41,0,7,517,517,0,1,5,2,0,0,0,0,0,0,0,0,1,0,0,0,5
1116,234,122,96,2320,2442,122,7,10,1.91,72,695.45,2.55,0.45,7.09,10,8.18,0.99,0.11,107,1,7.73,1
1117,547,0,82,4816,4816,0,7,10,1,62.64,8537.36,180.27,0.27,51.91,10,10,0.07,0.31,247,0.9,7.53,1
1118,148,0,58,1351,1351,0,6,10,0.82,36.09,575.45,6.09,0.45,5.18,10,10,0.21,0.17,204,2.13,9.34,1
1140,179,40,152,1726,1766,40,6,10,0.91,67.18,13484.36,8.27,0.18,8.18,10,9.09,0.47,0.23,197,1.1,8.11,1
1150,148,32,14,1540,1540,0,5,5,2,84.55,699.91,9.82,0.09,11.45,6.06,6.06,6.72,0.52,102,1,2.61,2
1151,55,52,0,663,675,12,3,5,0.27,28,258,1.91,0.73,1.73,10,3.64,119.21,0.11,129,0,3.12,2
1152,146,12,4,1468,1469,1,5,5,2,39,65062.55,2,0.45,6.64,10,8.18,9.17,0.21,135,0.89,2.71,2
