attempts,comments,blank_line,lloc,sloc,single_comments,system_access,exam_grade_codebench,difficult,delete_average,average_log_rows,submission_per_exercice,sucess_average,test_average,exercices_list_grade,exercices_list_grade_check_plagiarism,copy_past_proportion,sintaxe_error,IDE_usage,keystroke_latency,Media_Final
64,0,7,679,676,0,8,3.35,1.55,1.91,61.91,0.91,0.55,0.18,10.0,0.91,25.13,0.05,12,1.33,7.83
222,402,366,2311,2710,402,14,0.0,1.64,94.0,735.64,6.0,0.36,10.91,8.18,6.36,1.88,0.31,105,1.63,5.93
19,8,29,230,236,8,3,-1.0,0.91,2.73,35.36,1.82,0.82,0.27,10.0,1.82,86.36,0.0,14,0.44,0.0
314,2,171,4066,4037,2,15,0.0,1.09,88.45,874.64,3.27,0.36,9.91,10.0,10.0,0.32,0.21,248,1.5,7.4
169,0,215,2009,2006,0,11,0.0,1.09,122.64,1030.45,1.0,0.18,12.09,4.55,4.55,0.02,0.6,181,1.38,0.0
169,0,215,2009,2006,0,12,6.67,2.0,101.36,1041.91,0.64,0.55,10.73,5.45,5.45,0.04,0.36,103,1.11,0.0
864,22,66,11833,11812,22,16,6.65,1.55,368.91,2684.09,85.64,0.36,45.64,10.0,10.0,0.57,0.17,200,1.38,6.92
2,18,0,22,40,18,2,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
43,0,4,577,575,0,3,0.0,1.91,13.0,191.73,3.27,0.36,1.0,10.0,2.73,3.6,0.11,75,0.45,5.06
286,278,557,3482,3746,278,34,10.0,2.0,219.27,1734.64,6.36,0.27,16.0,10.0,10.0,1.26,0.29,377,1.78,9.16
167,0,114,2188,2198,2,21,5.0,1.82,67.91,701.18,6.82,0.36,8.55,10.0,10.0,0.54,0.17,196,0.5,5.5
135,0,230,1572,1558,0,2,5.0,1.18,10.36,135.27,1.82,0.82,1.09,10.0,3.64,14.66,0.14,51,1.5,4.52
257,108,291,3197,3258,108,16,10.0,0.82,307.18,3074.27,1.91,0.55,17.36,10.0,10.0,0.24,0.06,414,1.5,8.73
103,0,291,1207,1207,0,2,5.0,1.09,0.0,13.64,1.0,1.0,0.0,10.0,0.0,0.0,0.0,10,0.0,6.35
204,4,378,3179,3173,4,7,5.0,1.45,33.73,507.64,2.09,0.45,5.0,10.0,8.18,0.83,0.19,115,1.63,9.15
265,50,216,3139,3185,46,11,8.35,1.55,92.82,782.55,6.82,0.64,11.36,10.0,9.09,3.22,0.19,128,1.25,6.42
177,50,244,1924,1972,50,5,8.35,1.18,23.09,382.55,1.55,0.45,1.45,10.0,10.0,0.8,0.18,105,1.38,8.69
116,0,18,1184,1182,0,1,-1.0,1.64,28.82,297.18,1.09,0.09,3.64,1.82,1.82,0.33,0.73,85,2.0,0.0
204,6,112,2702,2697,0,7,5.0,2.0,123.09,1020.82,1.36,0.45,9.82,10.0,10.0,1.51,0.14,199,1.56,7.73
188,0,638,2862,2859,0,12,5.0,1.64,46.36,521.73,3.18,0.45,3.0,10.0,4.55,2.31,0.1,80,0.79,7.53
169,0,300,2370,2310,0,5,10.0,1.0,72.18,781.45,16.09,0.09,9.45,10.0,10.0,0.68,0.2,415,1.63,9.34
159,131,533,2526,2634,112,4,10.0,1.09,42.18,462.82,5.82,0.18,7.09,9.09,4.55,2.49,0.34,144,1.0,8.11
14,110,1,211,294,83,2,-1.0,2.0,129.18,331.36,1.64,0.09,0.36,1.82,0.91,364.03,0.73,8,0.0,2.61
171,151,22,2078,2123,55,12,0.0,0.45,96.45,501.82,3.09,0.64,7.64,10.0,6.36,11.54,0.22,61,1.78,3.12
35,274,3,480,659,181,5,-1.0,1.82,16.09,112.18,3.0,0.45,0.55,10.0,5.45,98.48,0.35,57,0.0,2.71
78,296,10,934,1046,114,4,0.0,1.18,4.36,99.36,2.36,0.64,1.55,9.09,2.73,291.74,0.32,28,0.0,5.84
157,8,71,2287,2265,4,6,5.0,1.73,55.18,639.36,4.73,0.36,6.73,9.09,8.18,1.91,0.3,170,1.88,7.83
19,21,18,227,231,6,6,-1.0,1.64,2.27,44.45,1.36,0.91,0.36,10.0,2.73,52.3,0.07,22,1.22,3.29
94,161,197,1267,1390,125,6,3.35,1.09,25.82,177.82,2.55,0.73,2.0,10.0,5.45,54.99,0.15,33,0.0,7.07
247,158,80,2912,2978,62,8,-1.0,2.0,0.27,23.82,1.36,0.45,0.0,7.27,0.91,21058.0,0.45,12,0.0,1.64
35,0,4,498,494,0,6,0.0,1.64,19.27,137.55,1.36,0.82,1.18,10.0,6.36,21.09,0.17,46,0.3,5.11
18,0,23,235,233,0,4,0.0,1.82,10.27,122.18,1.09,0.91,0.09,10.0,1.82,10.5,0.05,27,1.63,2.03
232,32,9,2398,2350,11,29,3.35,1.0,114.64,911.09,1.82,0.45,12.55,10.0,10.0,3.68,0.16,316,1.25,5.02
20,82,2,338,373,37,5,-1.0,1.36,20.36,162.91,1.64,0.64,0.0,10.0,4.55,16.38,0.12,39,1.25,3.25
50,123,40,532,609,79,3,-1.0,2.0,8.45,91.73,1.64,0.64,0.0,10.0,6.36,64.63,0.22,36,0.0,1.43
103,662,42,1571,1921,358,8,1.65,2.0,35.73,381.55,4.45,0.27,2.73,10.0,9.09,30.6,0.4,111,1.11,1.45
33,459,0,544,861,321,1,-1.0,1.09,11.45,276.18,2.09,0.55,0.55,10.0,3.64,61.7,0.24,207,0.0,2.47
24,80,43,374,427,58,4,0.0,1.82,5.27,39.55,1.18,0.73,0.09,10.0,1.82,138.87,0.06,13,0.0,1.99
43,301,14,610,787,181,11,-1.0,2.0,4.18,163.91,0.91,0.91,3.45,10.0,8.18,76.07,0.09,25,0.36,5.01
136,69,66,1620,1655,35,9,0.0,1.73,61.82,480.09,3.27,0.64,8.18,10.0,4.55,9.83,0.18,97,0.89,5.71
11,4,9,130,134,4,6,-1.0,2.0,0.18,16.27,1.0,0.73,0.0,10.0,0.0,1642.0,0.06,2,0.0,2.77
8,0,0,16,16,0,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.47
36,59,0,606,642,39,9,-1.0,1.55,32.18,203.45,2.0,0.73,1.45,10.0,3.64,20.98,0.15,93,0.91,2.54
146,39,229,1305,1309,25,3,5.0,1.0,19.91,157.27,2.73,0.73,2.18,10.0,4.55,42.62,0.13,40,1.0,7.55
104,22,29,1643,1627,4,6,10.0,1.27,62.91,721.18,1.36,0.91,6.64,10.0,9.09,0.78,0.05,239,1.56,7.12
89,1217,0,1437,2059,627,4,-1.0,1.73,28.64,297.45,2.27,0.64,6.55,9.09,7.27,44.82,0.14,91,0.67,1.17
227,1266,131,2690,3574,888,5,1.65,1.09,47.91,443.18,1.45,0.45,7.82,10.0,6.36,14.59,0.06,133,1.0,2.63
133,783,792,1867,2550,689,6,0.0,2.0,39.18,491.27,3.27,0.82,7.55,10.0,9.09,11.28,0.08,130,0.63,2.08
118,607,48,1858,2227,373,8,0.0,1.91,17.64,238.55,3.09,0.55,5.55,10.0,9.09,99.71,0.15,68,0.0,5.09
58,7,44,767,782,5,5,-1.0,1.55,35.27,386.73,1.55,0.55,2.64,10.0,4.55,2.6,0.0,119,1.1,3.16
154,10,6,1567,1557,5,8,5.0,1.73,57.55,503.36,6.91,0.64,4.64,10.0,8.18,4.66,0.24,158,1.56,5.46
145,193,345,2519,2634,127,5,1.65,0.18,54.73,210.91,0.91,0.64,3.0,10.0,3.64,43.72,0.06,62,1.36,5.15
157,2067,99,2380,3557,1183,5,0.0,2.0,14.73,222.82,16.73,0.45,9.0,10.0,5.45,73.21,0.37,103,0.38,2.39
255,18,13,2948,2958,14,7,0.0,2.0,63.18,797.64,3.09,0.55,51.18,9.09,9.09,18.27,0.18,551,1.44,4.2
99,0,19,1392,1376,0,3,0.0,0.82,74.27,759.18,5.0,0.45,4.0,8.18,8.18,0.44,0.32,159,1.38,2.58
12,102,0,162,224,64,2,-1.0,2.0,0.09,19.64,1.0,0.91,0.0,10.0,0.0,0.0,0.0,37,0.0,0.96
73,75,150,755,817,75,5,5.0,1.55,15.27,224.45,3.91,0.18,3.0,4.55,3.64,2.39,0.64,113,1.0,5.14
65,68,181,1021,1089,68,5,-1.0,1.64,25.18,209.27,0.45,0.09,5.55,2.73,2.73,4.05,0.73,69,1.13,0.0
65,68,181,1021,1089,68,2,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
153,33,221,2494,2497,31,5,0.0,2.0,68.91,471.18,5.36,0.45,9.82,6.36,3.64,11.66,0.39,202,1.3,2.62
79,38,279,607,646,38,3,0.0,2.0,36.91,299.18,2.82,0.18,5.91,2.73,2.73,1.4,0.76,59,1.2,0.0
131,143,348,1949,2059,143,4,-1.0,2.0,69.82,642.82,11.27,0.27,8.36,7.88,6.97,2.6,0.52,160,2.88,1.35
76,12,197,844,854,12,7,5.0,2.0,14.45,170.0,1.73,0.18,1.73,6.36,5.45,7.01,0.58,72,0.5,5.02
291,0,400,2985,2973,0,6,3.35,1.0,62.18,975.91,1.55,0.55,35.0,8.18,8.18,0.2,0.22,389,1.13,7.21
18,0,1,353,355,0,1,-1.0,2.0,4.73,41.73,0.18,0.09,1.27,0.91,0.91,33.76,0.82,14,0.0,1.3
787,174,2267,13686,13596,174,22,5.0,2.0,170.09,2104.45,44.09,0.18,35.45,7.88,6.97,1.21,0.44,399,1.5,8.86
225,124,4,2780,2889,113,6,8.35,1.82,30.18,452.73,2.0,0.55,7.64,8.18,6.36,1.99,0.14,203,1.88,6.91
349,203,1858,4242,4414,203,8,5.0,1.18,472.82,3276.09,6.0,0.27,15.09,8.18,8.18,1.87,0.1,506,1.25,9.4
464,9,830,4552,4547,3,5,8.35,1.0,152.09,1299.91,2.27,0.55,19.73,10.0,8.18,2.31,0.11,623,1.5,5.26
18,6,4,115,121,6,1,0.0,1.82,0.64,15.27,0.18,0.0,0.18,0.91,0.91,3.54,0.82,12,0.71,0.0
18,6,4,115,121,6,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
65,30,21,836,870,30,4,-1.0,2.0,43.27,288.73,5.27,0.45,0.64,8.18,4.55,4.84,0.44,44,1.5,6.49
255,0,31,3295,3295,0,9,5.0,1.64,44.45,443.09,3.55,0.18,10.64,1.82,1.82,6.16,0.57,156,0.75,6.67
